Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Year,Month,Day,SMA_3,Prev_Close,Daily_Return,High_Low_Spread
2023-12-06,147.580002,147.850006,144.279999,144.520004,144.520004,39679000,AMZN,2023,12,6,145.413335,146.880005,-1.6067544387678983,3.570007000000004
2023-12-07,146.149994,147.919998,145.339996,146.880005,146.880005,52352800,AMZN,2023,12,7,146.09333800000002,144.520004,1.6329926201773501,2.580001999999979
2023-12-08,145.479996,147.839996,145.399994,147.419998,147.419998,41858000,AMZN,2023,12,8,146.27333566666667,146.880005,0.3676422805132538,2.440002000000021
2023-12-11,145.660004,146.190002,143.639999,145.889999,145.889999,50907300,AMZN,2023,12,11,146.73000066666665,147.419998,-1.0378503735972129,2.550003000000004
2023-12-12,145.520004,147.5,145.300003,147.479996,147.479996,44944300,AMZN,2023,12,12,146.92999766666665,145.889999,1.089860176090625,2.199996999999996
2023-12-13,148.119995,149.460007,146.820007,148.839996,148.839996,52766200,AMZN,2023,12,13,147.40333033333334,147.479996,0.9221589618160917,2.6399999999999864
2023-12-14,149.929993,150.539993,145.520004,147.419998,147.419998,58400800,AMZN,2023,12,14,147.91333,148.839996,-0.954043293578173,5.01998900000001
2023-12-15,148.380005,150.570007,147.880005,149.970001,149.970001,110039100,AMZN,2023,12,15,148.74333166666668,147.419998,1.729753788220784,2.6900019999999927
2023-12-18,150.559998,154.850006,150.050003,154.070007,154.070007,62512800,AMZN,2023,12,18,150.48666866666667,149.970001,2.73388409192583,4.800003000000004
2023-12-19,154.399994,155.119995,152.690002,153.789993,153.789993,43171300,AMZN,2023,12,19,152.61000033333335,154.070007,-0.18174465326012104,2.429992999999996
2023-12-20,152.899994,155.630005,151.559998,152.119995,152.119995,50322100,AMZN,2023,12,20,153.32666500000002,153.789993,-1.0858951011201494,4.070007000000004
2023-12-21,153.300003,153.970001,152.100006,153.839996,153.839996,36305700,AMZN,2023,12,21,153.24999466666668,152.119995,1.1306869948293286,1.8699949999999887
2023-12-22,153.770004,154.350006,152.710007,153.419998,153.419998,29480100,AMZN,2023,12,22,153.126663,153.839996,-0.2730096274833632,1.6399990000000173
2023-12-26,153.559998,153.979996,153.029999,153.410004,153.410004,25067200,AMZN,2023,12,26,153.55666599999998,153.419998,-0.006514144264299922,0.9499969999999962
2023-12-27,153.559998,154.779999,153.119995,153.339996,153.339996,31434700,AMZN,2023,12,27,153.38999933333332,153.410004,-0.045634572827449364,1.660004000000015
2023-12-28,153.720001,154.080002,152.949997,153.380005,153.380005,27057000,AMZN,2023,12,28,153.37666833333333,153.339996,0.026091692346201532,1.1300050000000113
2023-12-29,153.100006,153.889999,151.029999,151.940002,151.940002,39789000,AMZN,2023,12,29,152.88666766666668,153.380005,-0.938846624760521,2.859999999999985
2024-01-02,151.539993,152.380005,148.389999,149.929993,149.929993,47339400,AMZN,2024,1,2,151.75,151.940002,-1.3228965206937384,3.9900060000000224
2024-01-03,149.199997,151.050003,148.330002,148.470001,148.470001,49425500,AMZN,2024,1,3,150.113332,149.929993,-0.9737824772659063,2.7200009999999963
2024-01-04,145.589996,147.380005,144.050003,144.570007,144.570007,56039800,AMZN,2024,1,4,147.656667,148.470001,-2.626789232661211,3.3300020000000075
2024-01-05,144.690002,146.589996,144.529999,145.240005,145.240005,45124800,AMZN,2024,1,5,146.09333766666666,144.570007,0.463441908804772,2.05999700000001
2024-01-08,146.740005,149.399994,146.149994,149.100006,149.100006,46757100,AMZN,2024,1,8,146.30333933333335,145.240005,2.6576706603666196,3.25
2024-01-09,148.330002,151.710007,148.210007,151.369995,151.369995,43812600,AMZN,2024,1,9,148.57000200000002,149.100006,1.522460703321488,3.5
2024-01-10,152.059998,154.419998,151.880005,153.729996,153.729996,44421800,AMZN,2024,1,10,151.399999,151.369995,1.5590943238123325,2.5399929999999813
2024-01-11,155.039993,157.169998,153.119995,155.179993,155.179993,49072700,AMZN,2024,1,11,153.42666133333333,153.729996,0.9432101982231211,4.050003000000004
2024-01-12,155.389999,156.199997,154.009995,154.619995,154.619995,40460300,AMZN,2024,1,12,154.50999466666667,155.179993,-0.36086997374720037,2.1900019999999927
2024-01-16,153.529999,154.990005,152.149994,153.160004,153.160004,41384600,AMZN,2024,1,16,154.3199973333333,154.619995,-0.9442446301980558,2.840011000000004
2024-01-17,151.490005,152.149994,149.910004,151.710007,151.710007,34953400,AMZN,2024,1,17,153.16333533333332,153.160004,-0.9467203983619616,2.239990000000006
